date,ticker,record_type,close,atr_raw,atr_bnd,equity,risk_amt,raw_size,ceil_size,max_afford,final_size,order_type,order_price,order_size,order_status
2020-10-15,PA=F,DEBUG,2357.89990,33.58952,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-10-16,PA=F,DEBUG,2333.10010,32.96168,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-10-19,PA=F,DEBUG,2348.30005,31.69299,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-10-20,PA=F,DEBUG,2408.50000,33.72920,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-10-21,PA=F,DEBUG,2419.80005,32.66283,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-10-22,PA=F,DEBUG,2388.60010,32.55834,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-10-23,PA=F,DEBUG,2391.39990,30.43273,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-10-26,PA=F,DEBUG,2361.89990,30.36611,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-10-27,PA=F,DEBUG,2347.30005,29.23994,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-10-28,PA=F,DEBUG,2244.30005,34.50852,5.00000,100000.00,1000.00,200.00,200,22,22,,,,
2020-10-29,PA=F,DEBUG,2191.39990,35.82221,5.00000,100000.00,1000.00,200.00,200,22,22,,,,
2020-10-30,PA=F,DEBUG,2210.30005,34.61349,5.00000,100000.00,1000.00,200.00,200,22,22,,,,
2020-11-02,PA=F,DEBUG,2214.30005,32.42681,5.00000,100000.00,1000.00,200.00,200,22,22,,,,
2020-11-03,PA=F,DEBUG,2292.39990,35.68917,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-04,PA=F,DEBUG,2302.30005,33.84710,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-05,PA=F,DEBUG,2378.30005,36.85802,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-06,PA=F,DEBUG,2495.19995,42.57530,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-11-09,PA=F,DEBUG,2494.60010,39.57705,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-11-10,PA=F,DEBUG,2467.19995,38.70727,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-11-11,PA=F,DEBUG,2312.89990,46.96390,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-12,PA=F,DEBUG,2338.39990,45.43076,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-13,PA=F,DEBUG,2326.30005,43.04998,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-16,PA=F,DEBUG,2342.19995,41.11069,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-17,PA=F,DEBUG,2323.60010,39.50278,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-18,PA=F,DEBUG,2351.30005,38.65972,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-19,PA=F,DEBUG,2317.39990,38.31975,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-20,PA=F,DEBUG,2321.19995,35.85405,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-23,PA=F,DEBUG,2351.80005,35.47877,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-24,PA=F,DEBUG,2350.10010,33.06600,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-25,PA=F,DEBUG,2341.60010,31.31128,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-11-27,PA=F,DEBUG,2424.39990,35.28190,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-11-30,PA=F,DEBUG,2392.80005,36.07604,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-12-01,PA=F,DEBUG,2417.30005,35.24918,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-12-02,PA=F,DEBUG,2397.39990,34.46710,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2020-12-03,PA=F,DEBUG,2302.10010,44.31230,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-04,PA=F,DEBUG,2345.80005,44.92570,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-07,PA=F,DEBUG,2339.89990,42.13816,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-08,PA=F,DEBUG,2316.69995,40.78543,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-09,PA=F,DEBUG,2280.30005,40.47218,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-10,PA=F,DEBUG,2325.00000,41.38130,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-11,PA=F,DEBUG,2322.10010,40.17550,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-14,PA=F,DEBUG,2307.89990,38.32012,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-15,PA=F,DEBUG,2314.19995,36.03297,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-16,PA=F,DEBUG,2338.69995,35.20919,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-17,PA=F,DEBUG,2338.00000,33.40853,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-18,PA=F,DEBUG,2360.89990,32.65791,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-21,PA=F,DEBUG,2304.39990,37.14663,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-22,PA=F,DEBUG,2311.10010,34.97189,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-23,PA=F,DEBUG,2326.30005,33.55961,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-24,PA=F,DEBUG,2333.10010,31.64821,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-28,PA=F,DEBUG,2339.00000,29.80904,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-29,PA=F,DEBUG,2331.50000,28.21554,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-30,PA=F,DEBUG,2373.10010,29.17158,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2020-12-31,PA=F,DEBUG,2448.50000,32.47360,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-04,PA=F,DEBUG,2385.89990,34.62550,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-05,PA=F,DEBUG,2488.10010,39.45226,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-06,PA=F,DEBUG,2442.80005,39.86996,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-07,PA=F,DEBUG,2426.30005,38.20068,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-08,PA=F,DEBUG,2359.69995,40.22921,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-11,PA=F,DEBUG,2373.50000,38.34141,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-12,PA=F,DEBUG,2370.89990,35.78846,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-13,PA=F,DEBUG,2391.80005,34.72501,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-14,PA=F,DEBUG,2418.00000,34.11608,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-15,PA=F,DEBUG,2389.80005,33.69350,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-19,PA=F,DEBUG,2359.69995,33.43682,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-20,PA=F,DEBUG,2397.89990,33.77705,5.00000,100000.00,1000.00,200.00,200,20,20,,,,
2021-01-21,PA=F,DEBUG,2369.80005,33.37153,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-22,PA=F,DEBUG,2359.89990,31.69501,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-25,PA=F,DEBUG,2341.60010,30.73821,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-26,PA=F,DEBUG,2319.69995,30.10692,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-27,PA=F,DEBUG,2305.19995,28.99214,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-28,PA=F,DEBUG,2321.00000,28.04984,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
2021-01-29,PA=F,DEBUG,2207.10010,34.18199,5.00000,100000.00,1000.00,200.00,200,22,22,,,,
2021-02-01,PA=F,DEBUG,2240.39990,34.11898,5.00000,100000.00,1000.00,200.00,200,22,22,,,,
2021-02-02,PA=F,DEBUG,2226.39990,32.68191,5.00000,100000.00,1000.00,200.00,200,22,22,,,,
2021-02-03,PA=F,DEBUG,2275.30005,33.84035,5.00000,100000.00,1000.00,200.00,200,21,21,,,,
