date,ticker,action,price,size,tp,sl,cash,equity
2021-11-22,GAZP.ME,BUY,324.34000,97,339.86813,313.98791,100000.00,100000.00
2021-11-24,GAZP.ME,BUY,335.76001,87,353.59855,323.86765,102694.66,102694.66
2021-11-26,GAZP.ME,BUY,327.60001,85,345.67890,315.54741,101660.02,101660.02
2022-01-31,GAZP.ME,BUY,328.88000,67,351.34012,313.90659,99725.42,99725.42
2022-02-14,GAZP.ME,BUY,321.67001,74,341.77868,308.26424,98722.21,98722.21
2022-02-15,GAZP.ME,BUY,332.16000,74,352.31412,318.72393,98722.21,98722.21
2020-11-11,LKOH.ME,BUY,4544.73486,8,4733.84790,4418.65951,100000.00,100000.00
2021-05-31,LKOH.ME,BUY,5515.96826,9,5692.84650,5398.04943,99500.45,99500.45
2021-06-01,LKOH.ME,BUY,5687.50879,9,5874.02489,5563.16472,99500.45,99500.45
2021-06-02,LKOH.ME,BUY,5886.64258,8,6082.15735,5756.29940,99500.45,99500.45
2021-08-16,LKOH.ME,BUY,6150.09033,9,6320.78370,6036.29475,101064.57,101064.57
2021-08-19,LKOH.ME,BUY,6000.18066,8,6191.10582,5872.89723,100100.18,100100.18
2021-12-27,LKOH.ME,BUY,6370.00000,7,6607.03588,6211.97608,101695.90,101695.90
2021-12-28,LKOH.ME,BUY,6479.00000,7,6719.40831,6318.72779,101695.90,101695.90
2021-05-17,MGNT.ME,BUY,4411.09082,13,4530.60745,4331.41307,100000.00,100000.00
2021-05-18,MGNT.ME,BUY,4502.80127,12,4636.60144,4413.60116,100000.00,100000.00
2021-05-20,MGNT.ME,BUY,4421.80420,11,4559.14696,4330.24236,98929.60,98929.60
2021-05-10,NVTK.ME,BUY,1340.08508,30,1391.67010,1305.69507,100000.00,100000.00
2021-05-13,NVTK.ME,BUY,1316.82690,32,1364.82666,1284.82707,99314.34,99314.34
2021-11-15,NVTK.ME,BUY,1716.80188,27,1772.68843,1679.54418,98290.34,98290.34
2021-11-17,NVTK.ME,BUY,1696.08057,26,1754.08731,1657.40940,97284.39,97284.39
2021-12-06,NVTK.ME,BUY,1592.09009,17,1680.81934,1532.93725,96251.77,96251.77
2022-02-09,NVTK.ME,BUY,1588.44470,16,1677.80428,1528.87165,95246.17,95246.17
2021-10-28,SNGS.ME,SELL,34.54500,1211,33.30539,35.37140,100000.00,100000.00
2021-07-19,GMKN.ME,BUY,25081.98438,2,25894.01395,24540.63132,100000.00,100000.00
2021-09-06,GMKN.ME,BUY,24660.25391,3,25294.11128,24237.68232,98917.29,98917.29
2021-09-10,GMKN.ME,BUY,24520.34375,3,25133.75224,24111.40476,97697.55,97697.55
2022-05-16,GMKN.ME,SELL,21200.00000,2,20283.38461,21811.07692,96470.73,96470.73
2021-05-10,ROSN.ME,BUY,520.73584,95,536.69136,510.09883,100000.00,100000.00
2021-05-12,ROSN.ME,BUY,523.66217,86,540.97542,512.12001,99240.14,99240.14
2021-08-09,ROSN.ME,BUY,531.79950,94,547.70899,521.19317,98684.83,98684.83
2021-08-11,ROSN.ME,BUY,546.08838,92,562.44972,535.18082,100229.00,100229.00
2021-10-11,NLMK.ME,BUY,208.56189,163,217.81006,202.39644,100000.00,100000.00
2021-10-13,NLMK.ME,BUY,201.70502,165,210.73160,195.68729,99102.21,99102.21
2020-12-28,TATN.ME,SELL,471.45569,85,453.63114,483.33872,100000.00,100000.00
2021-02-22,TATN.ME,SELL,490.33630,84,472.62092,502.14656,99005.75,99005.75
2021-02-26,TATN.ME,SELL,486.24390,77,467.13873,498.98067,98013.55,98013.55
2022-01-03,TATN.ME,BUY,502.45773,75,522.11681,489.35168,97584.27,97584.27
2022-02-07,TATN.ME,SELL,487.39999,55,460.86675,505.08883,96507.44,96507.44
2022-02-11,TATN.ME,SELL,493.29999,55,467.15948,510.72699,95716.05,95716.05
2020-11-09,ALRS.ME,BUY,70.36571,514,73.28486,68.41960,100000.00,100000.00
2020-11-11,ALRS.ME,BUY,69.32235,510,72.25253,67.36890,99509.17,99509.17
2021-04-19,ALRS.ME,BUY,92.91090,459,96.21681,90.70697,101003.57,101003.57
2021-04-21,ALRS.ME,BUY,96.11053,459,99.46753,93.87252,102520.97,102520.97
2021-11-08,ALRS.ME,BUY,132.39999,287,137.84942,128.76704,104061.84,104061.84
2021-12-06,ALRS.ME,BUY,124.77000,230,131.52151,120.26899,103133.98,103133.98
2022-01-03,ALRS.ME,BUY,123.00000,282,128.44122,119.37252,102098.75,102098.75
2022-01-05,ALRS.ME,BUY,119.31000,280,124.72740,115.69839,101075.80,101075.80
2022-02-08,ALRS.ME,BUY,118.00000,215,125.00773,113.32818,100240.95,100240.95
2022-02-09,ALRS.ME,BUY,122.37000,215,129.37968,117.69688,100240.95,100240.95
2021-07-12,CHMF.ME,BUY,1308.97290,26,1368.51081,1269.28096,100000.00,100000.00
2021-07-16,CHMF.ME,BUY,1342.14001,26,1403.04738,1301.53511,101632.60,101632.60
2021-08-30,CHMF.ME,BUY,1403.00000,39,1443.62343,1375.91772,103333.40,103333.40
2021-09-01,CHMF.ME,BUY,1406.21643,37,1447.71912,1378.54797,102277.19,102277.19
2021-10-11,CHMF.ME,BUY,1351.18689,27,1408.63063,1312.89106,101403.81,101403.81
2021-10-15,CHMF.ME,BUY,1323.75684,28,1378.00715,1287.58996,100415.54,100415.54
2021-06-14,AFKS.ME,BUY,32.39541,1295,33.55386,31.62312,100000.00,100000.00
2021-06-16,AFKS.ME,BUY,31.63810,1219,32.85697,30.82551,98999.88,98999.88
2021-06-18,AFKS.ME,BUY,30.73327,1219,31.94246,29.92715,98186.73,98186.73
2021-08-30,AFKS.ME,BUY,30.45500,1620,31.35564,29.85457,97234.24,97234.24
2021-09-13,AFKS.ME,SELL,29.53400,1637,28.65166,30.12222,96261.55,96261.55
2021-03-22,FEES.ME,BUY,0.19858,300309,0.20357,0.19525,100000.00,100000.00
2021-01-29,IRAO.ME,SELL,5.06599,9129,4.90168,5.17554,100000.00,100000.00
2021-05-17,IRAO.ME,SELL,4.89761,11312,4.76607,4.98530,99189.37,99189.37
2021-09-03,IRAO.ME,BUY,4.79250,10179,4.93742,4.69589,98333.82,98333.82
2021-10-29,IRAO.ME,SELL,4.79100,8186,4.61261,4.90993,97350.40,97350.40
2021-08-30,PHOR.ME,BUY,4380.68066,13,4500.10202,4301.06643,100000.00,100000.00
2021-09-01,PHOR.ME,BUY,4417.91553,11,4560.98707,4322.53450,102154.04,102154.04
2022-01-31,PHOR.ME,BUY,5519.00000,6,5799.63491,5331.91006,103727.82,103727.82
2022-02-03,PHOR.ME,BUY,5315.00000,6,5585.92635,5134.38244,102719.28,102719.28
2020-11-09,RUAL.ME,BUY,32.30500,1045,33.74139,31.34741,100000.00,100000.00
2021-01-04,RUAL.ME,BUY,35.90000,802,37.80155,34.63230,101558.50,101558.50
2021-11-15,RUAL.ME,BUY,72.47000,336,77.08530,69.39314,103163.75,103163.75
2021-11-19,RUAL.ME,BUY,70.20500,341,74.71006,67.20163,102385.28,102385.28
2021-12-13,RUAL.ME,BUY,68.90000,345,73.31120,65.95920,101361.13,101361.13
2021-12-15,RUAL.ME,BUY,65.76500,341,70.23741,62.78339,101416.05,101416.05
2022-04-04,RUAL.ME,BUY,71.92000,140,83.01765,64.52157,103132.99,103132.99
2021-08-02,HYDR.ME,BUY,0.82270,68527,0.84459,0.80811,100000.00,100000.00
2021-09-20,HYDR.ME,BUY,0.81210,94204,0.82827,0.80132,101547.99,101547.99
2021-07-12,MAGN.ME,BUY,55.44697,629,57.83417,53.85550,100000.00,100000.00
2021-07-13,MAGN.ME,BUY,57.71040,608,60.18091,56.06339,100000.00,100000.00
2021-12-13,MAGN.ME,BUY,59.55190,549,62.30033,57.71962,100500.17,100500.17
